name,,club,age,height,weight,wingspan,length,bmi,off_pos,def_pos,headshot,logo
Tristan da Silva,T. da Silva,Colorado,23.1,"6'8.25""",217 lbs,"6'10.25""",2,23.7,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702382.png,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Grant Nelson,G. Nelson,Alabama,22.2,"6'10""",223 lbs,"7'0""",2,23.3,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702670.png,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Kevin McCullar Jr.,K. McCullar Jr.,Kansas,23.2,"6'6""",210 lbs,"6'9""",3,24.3,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4411057.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Ryan Kalkbrenner,R. Kalkbrenner,Creighton,22.4,"7'1""",252 lbs,"7'5""",4,24.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4576060.png,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png
Arthur Kaluma,A. Kaluma,Kansas St,22.3,"6'6""",222 lbs,"7'1""",7,25.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433599.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Coleman Hawkins,C. Hawkins,Illinois,22.5,"6'9""",224 lbs,"7'0""",3,24,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432976.png,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Justin Edwards,J. Edwards,Kentucky,20.5,"6'6""",209 lbs,"6'10""",4,24.1,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4711297.png,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Kyle Filipowski,K. Filipowski,Duke,20.6,"6'10.75""",230 lbs,"6'10.5""",-0.25,23.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4684793.png,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Kel'el Ware,K. Ware,Indiana,20.2,"6'11.75""",230 lbs,"7'4.50""",4.75,23.1,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105623.png,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Trevon Brazile,T. Brazile,Arkansas,21.4,"6'9.25""",215 lbs,"7'3.75""",6.5,22.9,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4698719.png,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Bobi Klintman,B. Klintman,Cairns,21.3,"6'8.75""",212 lbs,"6'11""",2.25,22.9,,,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105340.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Cairns_Taipans_logo.svg/1200px-Cairns_Taipans_logo.svg.png
Quinn Ellis,Q. Ellis,Trento,21.2,"6'4""",203 lbs,,,21.2,,,https://www.proballers.com/media/cache/resize_300/ul/player/backup/quinn-ellis-1-1ee87d1d-2d42-6f58-9bdd-f16fb476ba2d.png,https://upload.wikimedia.org/wikipedia/en/5/59/Aquila_Basket_Trento_logo.svg
Isaiah Crawford,I. Crawford,Louisiana Tech,22.6,"6'6""",220 lbs,"7'1""",7,22.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592857.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Mantas Rubstavicius,M. Rubstavicius,NZ Breakers,22.1,"6'8.5""",200 lbs,"6'7.25""",-1.25,22.1,,,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108220.png,https://upload.wikimedia.org/wikipedia/commons/d/d1/BNZ_Breakers_Logo_2023.png
Melvin Ajinca,M. Ajinca,Saint Queintin,20,"6'7.25""",214 lbs,"6'7.5""",0.25,20,,,https://cdn.nba.com/manage/2024/05/melvin-ajinca.jpg,https://upload.wikimedia.org/wikipedia/en/1/19/Saint-Quentin_Basketball_logo.png
Juan Nunez,J. Nunez,Ratiopharm Ulm,20.1,"6'4""",206 lbs,"6'6.5""",2.5,20,,,https://cdn.nba.com/manage/2024/05/juan-nunez.jpg,https://prodsporttotaltv.imgix.net/Team/Images/logo/b1f364e8-ec50-42ef-a222-66bfaa34f5fb.png
